A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2018,1,2,60,5
2018,1,1,47,9
2018,2,1,48,5
2018,2,2,62,4
2018,2,1,49,4
2018,1,2,51,5
2018,2,2,33,2
2018,2,1,55,-2
2018,1,2,40,4
2018,1,2,38,6
2018,2,1,54,4
2018,1,1,39,10
2018,1,2,44,5
2018,2,2,53,5
2018,3,2,43,3
2018,2,1,33,2
2018,2,1,21,2
2018,2,2,61,5
2018,1,2,47,7
2018,2,2,51,1
2018,1,2,43,8
2018,1,2,38,5
2018,2,2,30,5
2018,1,1,18,-2
2018,2,2,18,6
2018,1,1,39,5
2018,2,2,63,6
2018,2,2,66,6
2018,3,2,48,5
2018,2,1,60,4
2018,2,2,60,6
2018,2,1,70,4
2018,2,1,66,4
2018,2,2,41,4
2018,2,1,43,5
2018,2,1,58,3
2018,1,1,51,6
2018,2,2,71,5
2018,2,1,51,6
2018,2,2,60,5
2018,2,2,54,2
2018,3,2,55,3
2018,2,1,53,6
2018,2,1,47,5
2018,2,1,43,7
2018,3,2,47,5
2018,3,2,29,6
2018,2,2,29,8
2018,2,2,27,4
2018,2,2,66,6
2018,2,2,61,4
2018,4,2,27,5
2018,1,2,30,6
2018,2,1,49,6
2018,2,1,26,8
2018,2,2,41,3
2018,2,2,71,5
2018,2,2,58,4
2018,2,2,60,5
2018,2,1,37,5
2018,2,2,58,5
2018,2,1,32,7
2018,3,1,28,6
2018,1,1,48,4
2018,2,1,37,8
2018,2,2,35,7
2018,2,2,31,7
2018,1,2,47,7
2018,2,1,27,5
2018,2,2,57,5
2018,2,1,34,8
2018,2,2,55,3
2018,1,2,22,5
2018,2,2,55,6
2018,2,2,51,3
2018,2,2,86,4
2018,2,2,18,5
2018,1,1,32,7
2018,3,2,72,3
2018,2,2,40,5
2018,3,2,48,3
2018,2,2,57,4
2018,2,1,22,5
2018,2,2,64,3
2018,2,2,47,4
2018,2,2,54,5
2018,1,2,33,7
2018,1,2,71,2
2018,2,1,66,4
2018,2,2,49,3
2018,1,2,53,6
2018,2,2,39,4
2018,2,2,52,2
2018,1,2,30,6
2018,1,2,49,5
2018,2,2,68,1
2018,2,1,36,4
2018,1,2,37,2
2018,2,2,48,5
2018,2,2,61,2
2018,2,1,46,3
2018,2,2,42,6
2018,1,1,21,6
2018,2,2,20,8
2018,2,2,50,3
2018,3,2,75,3
2018,2,2,46,2
2018,1,2,55,4
2018,1,2,32,3
2018,2,1,56,5
2018,2,2,83,2
2018,1,1,67,1
2018,1,1,32,7
2018,2,1,51,4
2018,2,2,45,8
2018,2,2,59,5
2018,1,2,48,3
2018,2,2,67,6
2018,2,1,68,-2
2018,2,1,66,5
2018,1,2,39,3
2018,1,1,86,2
2018,1,2,46,-2
2018,2,2,49,8
2018,2,2,45,3
2018,1,1,32,4
2018,2,2,30,3
2018,2,2,38,3
2018,2,1,24,-2
2018,2,1,37,4
2018,1,1,28,6
2018,1,1,30,3
2018,1,2,31,4
2018,1,2,32,5
2018,2,2,29,6
2018,2,2,30,6
2018,2,2,41,5
2018,2,1,46,3
2018,1,2,48,5
2018,1,2,50,6
2018,2,1,27,-2
2018,2,2,37,3
2018,2,2,54,6
2018,1,1,47,3
2018,2,1,41,5
2018,1,2,24,5
2018,2,1,30,5
2018,2,1,49,-2
2018,1,2,41,5
2018,2,1,34,6
2018,2,1,56,2
2018,2,1,44,4
2018,1,1,59,-2
2018,2,1,47,4
2018,3,1,52,4
2018,1,1,30,-2
2018,1,2,29,-2
2018,2,1,36,5
2018,2,2,50,3
2018,2,1,62,3
2018,2,1,42,4
2018,2,2,28,-2
2018,2,1,38,-2
2018,1,1,48,-2
2018,2,2,34,4
2018,2,2,33,-2
2018,2,1,45,5
2018,2,1,42,5
2018,2,1,50,-2
2018,2,2,30,5
2018,2,2,51,4
2018,2,1,68,-2
2018,1,2,33,-2
2018,2,1,47,-2
2018,2,2,58,-2
2018,2,2,46,-2
2018,2,1,58,6
2018,1,2,41,-2
2018,2,1,56,-2
2018,2,2,30,-2
2018,2,2,62,6
2018,2,1,41,5
2018,3,2,39,2
2018,2,1,47,5
2018,2,1,71,4
2018,2,2,79,5
2018,2,1,34,8
2018,2,1,50,5
2018,1,2,62,6
2018,1,1,60,5
2018,3,2,90,6
2018,2,1,44,5
2018,1,2,50,4
2018,2,2,34,6
2018,2,2,69,5
2018,1,1,30,3
2018,2,1,33,6
2018,3,2,65,2
2018,2,1,61,6
2018,2,2,59,3
2018,2,1,33,5
2018,2,1,50,5
2018,1,2,39,7
2018,1,2,48,2
2018,1,1,36,2
2018,2,1,71,5
2018,2,1,47,6
2018,2,2,39,6
2018,2,1,65,3
2018,2,1,39,7
2018,1,2,42,5
2018,1,1,39,5
2018,1,1,43,6
2018,1,2,40,6
2018,2,1,23,8
2018,1,1,20,8
2018,2,1,59,5
