Country,Life Expectancy,Health expenditure,GDP per capita,Obesity among adults
Albania,78.025,4.89631176,11658.90552,21.7
Algeria,76.09,6.9784894,12015.64053,25.7
Angola,59.398,2.60579491,7337.569901,6.5
Argentina,76.068,10.22933865,20105.19899,28.0
Armenia,74.467,10.11763382,9969.664854,20.2
Australia,82.4,9.32758904,46248.61646,29.8
Austria,81.1902439,10.36746693,49865.90394,21.5
Bahrain,76.762,4.9869976,45575.78357,28.1
Bangladesh,71.514,2.63947296,3555.50526,3.1
Belarus,73.62439024,6.06533337,18095.66518,26.1
Belgium,80.99268293,10.43065357,46200.90445,24.1
Benin,60.608,2.90741682,2886.829137,7.9
Bolivia,70.277,6.55064964,7133.873145,18.2
Botswana,67.338,5.72629929,14639.55843,15.8
Brazil,74.994,8.90929508,14744.11363,21.7
Brunei Darussalam,75.318,2.38708901,62540.62522,14.1
Bulgaria,74.61463415,7.41093588,18391.92747,26.9
Cambodia,68.637,6.19431591,3388.737638,3.3
Cameroon,57.583,3.74879193,3395.628961,9.2
Canada,81.9,10.73320484,44670.08054,30.7
Chile,79.646,8.30269146,22566.17765,28.3
China,75.928,4.93827963,12897.50229,6.2
Colombia,76.531,7.52338552,13265.79726,21.6
Congo Dem. Rep.,58.828,3.97874045,849.7608186,5.3
Congo Rep.,62.582,1.97311711,5931.133916,8.0
Costa Rica,79.565,7.59196186,17090.79658,24.8
Cote d'Ivoire,56.065,3.21990895,4652.889619,8.7
Croatia,77.27560976,6.78702879,23301.27286,26.5
Cyprus,80.35,6.75352287,31815.27344,22.2
Czechia,78.57804878,7.19641542,33899.28657,28.0
Denmark,80.70243902,10.22716618,49045.33919,20.9
Ecuador,76.143,7.49149466,11060.28627,18.8
Egypt,71.117,5.02518845,10895.94317,30.2
El Salvador,72.412,7.63034058,7597.689174,22.1
Eritrea,64.664,4.45335484,1626.37,3.8
Estonia,77.5902439,6.34629202,29175.92593,23.4
Ethiopia,65.048,3.82317114,1657.344704,3.4
Finland,81.4804878,9.64523888,42497.70498,24.5
France,82.32195122,11.4475565,40849.99738,22.8
Gabon,64.913,2.6574378,14699.53605,13.1
Georgia,72.973,7.42301512,12089.16941,22.5
Germany,80.64146341,11.18370342,47609.781,25.2
Ghana,62.772,4.62171459,5206.028871,9.3
Greece,81.03658537,8.06892395,26760.3633,26.9
Guatemala,73.25,6.00602055,8194.440681,18.2
Honduras,74.495,7.48378992,4823.395396,18.7
Hungary,75.56829268,6.85949564,26806.59525,28.1
India,68.607,3.59565997,5464.859178,3.6
Indonesia,70.768,2.92428517,10247.20634,6.5
Iran,75.502,6.75900412,16210.91989,24.6
Iraq,69.929,3.14434433,9763.90409,26.8
Ireland,81.45365854,7.31605005,69028.77272,26.2
Israel,82.05121951,7.09919786,35469.9502,26.3
Italy,82.54390244,8.85689163,36899.38521,22.5
Jamaica,74.098,5.62469387,8792.056957,23.7
Jordan,74.078,7.4609561,9464.682242,32.5
Kazakhstan,71.97,3.04051137,23224.11784,20.6
Kenya,64.798,5.21938562,3683.041911,5.7
Kuwait,75.13,4.21497965,47230.66013,36.3
Kyrgyz Republic,70.65121951,7.14930916,4214.829509,14.7
Latvia,74.4804878,5.65469503,24972.78609,25.3
Libya,72.121,8.978,21382.46193,31.0
Lithuania,74.32195122,6.49043989,28834.42768,27.9
Luxembourg,82.29268293,5.28378248,107859.686,23.7
Malaysia,75.461,3.81819606,24801.88843,14.7
Malta,81.89756098,8.89759541,37455.20487,30.6
Mauritius,74.35317073,5.6999588,19229.83549,11.1
Mexico,74.904,5.72277403,18301.50047,27.8
Moldova,71.478,8.55763531,9254.848633,19.6
Mongolia,69.111,4.23834085,10648.27398,18.8
Montenegro,76.44878049,9.02188778,16332.84831,24.4
Morocco,75.726,5.06548977,7024.962891,24.8
Mozambique,57.206,6.7166338,1291.268034,5.8
Myanmar,65.81,5.47780514,4105.443377,5.4
Namibia,62.119,9.98109627,10633.29442,14.5
Nepal,69.515,5.46615076,2996.220462,3.5
Netherlands,81.5097561,10.32393837,50288.59139,22.6
New Zealand,81.45682927,9.28344345,37479.68298,31.3
Nicaragua,73.649,7.96303225,5293.870462,21.2
Niger,60.631,5.34746218,1145.309402,4.5
Nigeria,53.112,3.58194971,5426.332787,7.4
North Macedonia,75.40243902,6.34227896,13888.29539,23.4
Norway,82.30487805,10.13146877,60368.92087,24.5
Oman,76.887,4.3044014,35803.65721,21.9
Pakistan,66.577,2.68711925,4921.89157,7.4
Panama,77.776,6.8090291,25319.2167,21.9
Paraguay,73.662,6.70042467,11486.52319,18.4
Peru,75.792,4.97963047,11572.32079,18.6
Philippines,70.644,3.89827442,7186.76928,5.7
Poland,77.45121951,6.39477158,26862.05252,25.0
Portugal,81.12439024,9.31645775,29660.89607,22.7
Qatar,79.758,3.00097346,92968.2321,32.9
Romania,74.91219512,4.94721556,21605.83562,23.9
Russian Federation,71.18341463,5.29604387,24085.32422,25.2
Saudi Arabia,74.651,5.9983449,48611.11934,34.1
Senegal,66.747,4.38257313,2971.346817,7.1
Serbia,75.28780488,8.8132,14928.46704,23.0
Slovak Republic,76.56341463,6.7925415,29964.88861,21.9
Slovenia,80.77560976,8.49823952,31628.24718,22.0
South Africa,62.649,8.79018974,13701.94539,26.4
Spain,82.83170732,9.12617207,34903.12748,26.6
Sri Lanka,76.316,3.88992095,11557.48705,5.1
Sudan,64.429,7.26747084,4434.475098,7.3
Sweden,82.20487805,10.80418396,49103.13343,21.6
Switzerland,82.89756098,11.00794983,66020.20434,20.8
Tajikistan,70.137,6.9073596,3150.427114,12.0
Tanzania,63.111,3.64969921,2348.443604,6.8
Thailand,76.091,3.66788888,15822.37099,10.1
Togo,59.927,4.9564662,1397.332402,6.8
Trinidad and Tobago,72.941,6.07862949,27651.72817,18.9
Tunisia,75.922,6.62154102,10825.1015,26.4
Turkiye,76.532,4.11690378,25753.39051,31.4
Ukraine,71.1895122,7.77609348,10164.32715,25.6
United Kingdom,80.95609756,9.90072441,42912.87509,28.9
United States,78.6902439,16.52407265,56762.72945,36.7
Uruguay,77.369,8.29223633,20217.56044,28.4
Venezuela,72.762,5.77645016,17743.684,24.7
Yemen,66.066,4.84180498,3697.704,13.5
Zimbabwe,59.534,7.45206605,2679.507615,11.9
