Date,Year,Month,All causes,Poisoning,Motor vehicle,Falls,Choking (a),Drowning (b),"Fire, flames, or smoke",Mechanical suffocation,Natural heat or cold,Struck by or against,All other causes,Date
1999-01-01,1999,January,7932.0,1035.0,2936.0,1221.0,388.0,122.0,489.0,115.0,192.0,67.0,1367.0,1999-01-01
1999-02-01,1999,February,7001.0,979.0,2750.0,1041.0,323.0,140.0,337.0,125.0,85.0,64.0,1157.0,1999-02-01
1999-03-01,1999,March,7801.0,987.0,3209.0,1183.0,393.0,171.0,306.0,123.0,76.0,68.0,1285.0,1999-03-01
1999-04-01,1999,April,7567.0,1038.0,3148.0,1015.0,333.0,243.0,250.0,163.0,39.0,55.0,1283.0,1999-04-01
1999-05-01,1999,May,8418.0,1015.0,3741.0,1101.0,325.0,355.0,236.0,136.0,29.0,66.0,1414.0,1999-05-01
1999-06-01,1999,June,8195.0,961.0,3590.0,1021.0,272.0,525.0,198.0,156.0,58.0,72.0,1342.0,1999-06-01
1999-07-01,1999,July,9318.0,1140.0,3910.0,1027.0,288.0,733.0,209.0,139.0,367.0,82.0,1423.0,1999-07-01
1999-08-01,1999,August,8832.0,1024.0,4061.0,1032.0,305.0,498.0,175.0,142.0,162.0,78.0,1355.0,1999-08-01
1999-09-01,1999,September,8106.0,941.0,3715.0,1113.0,288.0,291.0,186.0,144.0,25.0,80.0,1323.0,1999-09-01
1999-10-01,1999,October,8354.0,1029.0,3945.0,1158.0,292.0,189.0,231.0,148.0,31.0,72.0,1259.0,1999-10-01
1999-11-01,1999,November,7850.0,988.0,3658.0,1008.0,305.0,145.0,289.0,114.0,33.0,77.0,1233.0,1999-11-01
1999-12-01,1999,December,8486.0,1049.0,3738.0,1242.0,373.0,117.0,442.0,113.0,95.0,61.0,1256.0,1999-12-01
2000-01-01,2000,January,8387.0,1136.0,3362.0,1155.0,460.0,129.0,485.0,124.0,173.0,56.0,1307.0,2000-01-01
2000-02-01,2000,February,7175.0,1099.0,2909.0,1051.0,334.0,132.0,354.0,107.0,97.0,65.0,1027.0,2000-02-01
2000-03-01,2000,March,7548.0,1119.0,3301.0,1038.0,353.0,173.0,287.0,113.0,41.0,77.0,1046.0,2000-03-01
2000-04-01,2000,April,7836.0,1120.0,3494.0,1012.0,360.0,243.0,263.0,112.0,34.0,72.0,1126.0,2000-04-01
2000-05-01,2000,May,8386.0,1183.0,3697.0,1110.0,345.0,423.0,194.0,124.0,38.0,67.0,1205.0,2000-05-01
2000-06-01,2000,June,8323.0,1076.0,3760.0,1088.0,323.0,570.0,185.0,95.0,58.0,64.0,1104.0,2000-06-01
2000-07-01,2000,July,9055.0,1048.0,4157.0,1120.0,356.0,667.0,173.0,109.0,103.0,69.0,1253.0,2000-07-01
2000-08-01,2000,August,8662.0,980.0,3984.0,1137.0,327.0,474.0,175.0,113.0,76.0,87.0,1309.0,2000-08-01
2000-09-01,2000,September,8086.0,957.0,3837.0,1030.0,352.0,286.0,186.0,108.0,56.0,84.0,1190.0,2000-09-01
2000-10-01,2000,October,8131.0,910.0,3836.0,1165.0,351.0,174.0,254.0,116.0,40.0,77.0,1208.0,2000-10-01
2000-11-01,2000,November,7752.0,1024.0,3462.0,1130.0,363.0,114.0,306.0,103.0,82.0,84.0,1084.0,2000-11-01
2000-12-01,2000,December,8559.0,1105.0,3555.0,1286.0,389.0,97.0,515.0,111.0,245.0,75.0,1181.0,2000-12-01
2001-01-01,2001,January,8079.0,1132.0,3083.0,1324.0,378.0,112.0,485.0,110.0,172.0,72.0,1211.0,2001-01-01
2001-02-01,2001,February,7330.0,985.0,2878.0,1158.0,350.0,118.0,400.0,121.0,121.0,66.0,1133.0,2001-02-01
2001-03-01,2001,March,7935.0,1114.0,3262.0,1233.0,377.0,159.0,340.0,111.0,68.0,74.0,1197.0,2001-03-01
2001-04-01,2001,April,8161.0,1229.0,3428.0,1176.0,342.0,259.0,268.0,115.0,35.0,72.0,1237.0,2001-04-01
2001-05-01,2001,May,8574.0,1180.0,3810.0,1215.0,352.0,380.0,199.0,134.0,29.0,76.0,1199.0,2001-05-01
2001-06-01,2001,June,8605.0,1196.0,3728.0,1175.0,305.0,533.0,199.0,112.0,48.0,70.0,1239.0,2001-06-01
2001-07-01,2001,July,9354.0,1257.0,4059.0,1309.0,326.0,620.0,187.0,102.0,100.0,89.0,1305.0,2001-07-01
2001-08-01,2001,August,9230.0,1316.0,4047.0,1266.0,360.0,490.0,164.0,126.0,129.0,69.0,1263.0,2001-08-01
2001-09-01,2001,September,8222.0,1113.0,3752.0,1217.0,344.0,214.0,203.0,98.0,26.0,76.0,1179.0,2001-09-01
2001-10-01,2001,October,8807.0,1183.0,4055.0,1375.0,344.0,150.0,257.0,113.0,29.0,81.0,1220.0,2001-10-01
2001-11-01,2001,November,8535.0,1122.0,3833.0,1234.0,324.0,128.0,245.0,114.0,43.0,62.0,1430.0,2001-11-01
2001-12-01,2001,December,8705.0,1251.0,3853.0,1337.0,383.0,118.0,362.0,114.0,99.0,46.0,1142.0,2001-12-01
2002-01-01,2002,January,8775.0,1492.0,3458.0,1351.0,402.0,109.0,414.0,146.0,150.0,64.0,1189.0,2002-01-01
2002-02-01,2002,February,7761.0,1332.0,3063.0,1220.0,342.0,109.0,388.0,118.0,94.0,59.0,1036.0,2002-02-01
2002-03-01,2002,March,8926.0,1557.0,3654.0,1421.0,402.0,182.0,318.0,118.0,80.0,81.0,1113.0,2002-03-01
2002-04-01,2002,April,8261.0,1506.0,3419.0,1309.0,324.0,223.0,223.0,121.0,41.0,74.0,1021.0,2002-04-01
2002-05-01,2002,May,9052.0,1507.0,3893.0,1330.0,330.0,385.0,209.0,116.0,26.0,69.0,1187.0,2002-05-01
2002-06-01,2002,June,9198.0,1422.0,4018.0,1258.0,324.0,603.0,196.0,115.0,78.0,68.0,1116.0,2002-06-01
2002-07-01,2002,July,9815.0,1492.0,4251.0,1339.0,303.0,664.0,178.0,112.0,153.0,68.0,1255.0,2002-07-01
2002-08-01,2002,August,9361.0,1409.0,4159.0,1406.0,320.0,448.0,167.0,103.0,75.0,88.0,1186.0,2002-08-01
