Date,Drownings
1999-01-01,122.0
1999-02-01,140.0
1999-03-01,171.0
1999-04-01,243.0
1999-05-01,355.0
1999-06-01,525.0
1999-07-01,733.0
1999-08-01,498.0
1999-09-01,291.0
1999-10-01,189.0
1999-11-01,145.0
1999-12-01,117.0
2000-01-01,129.0
2000-02-01,132.0
2000-03-01,173.0
2000-04-01,243.0
2000-05-01,423.0
2000-06-01,570.0
2000-07-01,667.0
2000-08-01,474.0
2000-09-01,286.0
2000-10-01,174.0
2000-11-01,114.0
2000-12-01,97.0
2001-01-01,112.0
2001-02-01,118.0
2001-03-01,159.0
2001-04-01,259.0
2001-05-01,380.0
2001-06-01,533.0
2001-07-01,620.0
2001-08-01,490.0
2001-09-01,214.0
2001-10-01,150.0
2001-11-01,128.0
2001-12-01,118.0
2002-01-01,109.0
2002-02-01,109.0
2002-03-01,182.0
2002-04-01,223.0
2002-05-01,385.0
2002-06-01,603.0
2002-07-01,664.0
2002-08-01,448.0
2002-09-01,270.0
2002-10-01,181.0
2002-11-01,149.0
2002-12-01,124.0
2003-01-01,107.0
2003-02-01,107.0
2003-03-01,174.0
2003-04-01,223.0
2003-05-01,358.0
2003-06-01,511.0
2003-07-01,627.0
2003-08-01,486.0
2003-09-01,281.0
2003-10-01,173.0
2003-11-01,151.0
2003-12-01,108.0
2004-01-01,137.0
2004-02-01,124.0
2004-03-01,205.0
2004-04-01,243.0
2004-05-01,407.0
2004-06-01,482.0
2004-07-01,597.0
2004-08-01,394.0
2004-09-01,292.0
2004-10-01,179.0
2004-11-01,115.0
2004-12-01,133.0
2005-01-01,154.0
2005-02-01,132.0
2005-03-01,187.0
2005-04-01,245.0
2005-05-01,347.0
2005-06-01,574.0
2005-07-01,701.0
2005-08-01,483.0
2005-09-01,301.0
2005-10-01,193.0
2005-11-01,139.0
2005-12-01,126.0
2006-01-01,157.0
2006-02-01,114.0
2006-03-01,187.0
2006-04-01,283.0
2006-05-01,395.0
2006-06-01,533.0
2006-07-01,729.0
2006-08-01,439.0
2006-09-01,268.0
2006-10-01,169.0
2006-11-01,157.0
2006-12-01,148.0
2007-01-01,127.0
2007-02-01,128.0
2007-03-01,222.0
2007-04-01,236.0
2007-05-01,369.0
2007-06-01,523.0
2007-07-01,570.0
2007-08-01,519.0
2007-09-01,292.0
2007-10-01,202.0
2007-11-01,116.0
2007-12-01,139.0
2008-01-01,138.0
2008-02-01,147.0
2008-03-01,207.0
2008-04-01,278.0
2008-05-01,377.0
2008-06-01,552.0
2008-07-01,642.0
2008-08-01,476.0
2008-09-01,269.0
2008-10-01,190.0
2008-11-01,137.0
2008-12-01,135.0
2009-01-01,101.0
2009-02-01,134.0
2009-03-01,204.0
2009-04-01,251.0
2009-05-01,382.0
2009-06-01,552.0
2009-07-01,616.0
2009-08-01,498.0
2009-09-01,274.0
2009-10-01,194.0
2009-11-01,167.0
2009-12-01,144.0
2010-01-01,152.0
2010-02-01,134.0
2010-03-01,182.0
2010-04-01,264.0
2010-05-01,475.0
2010-06-01,573.0
2010-07-01,683.0
2010-08-01,535.0
2010-09-01,311.0
2010-10-01,200.0
2010-11-01,148.0
2010-12-01,125.0
2011-01-01,117.0
2011-02-01,138.0
2011-03-01,185.0
2011-04-01,260.0
2011-05-01,390.0
2011-06-01,567.0
2011-07-01,759.0
2011-08-01,415.0
2011-09-01,280.0
2011-10-01,169.0
2011-11-01,132.0
2011-12-01,144.0
2012-01-01,150.0
2012-02-01,157.0
2012-03-01,226.0
2012-04-01,213.0
2012-05-01,362.0
2012-06-01,582.0
2012-07-01,651.0
2012-08-01,451.0
2012-09-01,318.0
2012-10-01,183.0
2012-11-01,123.0
2012-12-01,135.0
2013-01-01,155.0
2013-02-01,133.0
2013-03-01,180.0
2013-04-01,197.0
2013-05-01,334.0
2013-06-01,572.0
2013-07-01,637.0
2013-08-01,417.0
2013-09-01,309.0
2013-10-01,184.0
2013-11-01,153.0
2013-12-01,120.0
2014-01-01,146.0
2014-02-01,137.0
2014-03-01,186.0
2014-04-01,254.0
2014-05-01,394.0
2014-06-01,531.0
2014-07-01,582.0
2014-08-01,421.0
2014-09-01,285.0
2014-10-01,203.0
2014-11-01,145.0
2014-12-01,122.0
2015-01-01,146.0
2015-02-01,120.0
2015-03-01,199.0
2015-04-01,247.0
2015-05-01,386.0
2015-06-01,598.0
2015-07-01,594.0
2015-08-01,491.0
2015-09-01,285.0
2015-10-01,216.0
2015-11-01,160.0
2015-12-01,160.0
2016-01-01,159.0
2016-02-01,184.0
2016-03-01,215.0
2016-04-01,299.0
2016-05-01,368.0
2016-06-01,547.0
2016-07-01,656.0
2016-08-01,506.0
2016-09-01,311.0
2016-10-01,204.0
2016-11-01,181.0
2016-12-01,156.0
2017-01-01,178.0
2017-02-01,171.0
2017-03-01,206.0
2017-04-01,274.0
2017-05-01,358.0
2017-06-01,564.0
2017-07-01,662.0
2017-08-01,464.0
2017-09-01,295.0
2017-10-01,222.0
2017-11-01,164.0
2017-12-01,151.0
2018-01-01,177.0
2018-02-01,162.0
2018-03-01,212.0
2018-04-01,247.0
2018-05-01,390.0
2018-06-01,543.0
2018-07-01,667.0
2018-08-01,463.0
2018-09-01,305.0
2018-10-01,241.0
2018-11-01,154.0
2018-12-01,149.0
2019-01-01,178.0
2019-02-01,147.0
2019-03-01,208.0
2019-04-01,259.0
2019-05-01,397.0
2019-06-01,496.0
2019-07-01,669.0
2019-08-01,447.0
2019-09-01,315.0
2019-10-01,226.0
2019-11-01,184.0
2019-12-01,166.0
2020-01-01,172.0
2020-02-01,185.0
2020-03-01,238.0
2020-04-01,240.0
