Period,Subject,BeliefOther1,BeliefOther2,BeliefOther3,BeliefOther4,BeliefOther5,BeliefOther6,BeliefOther7,BeliefOther8,BeliefOther9,BeliefOther10,BeliefOther11,BeliefOther12,BeliefOther13,BeliefOther14,BeliefOther15,BeliefOther16,NumberHumans,NumberRational,NumberRandom
1,1,8,15,21,27,31,39,43,56,60,66,76,82,89,94,100,105,25,41,32
1,2,7,10,28,32,32,36,40,48,64,77,82,83,95,108,120,128,32,40,58
1,3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1,4,0,0,0,1,1,1,1,1,1,2,2,2,2,3,16,16,3,0,32
1,5,10,20,30,40,50,60,64,64,64,64,70,80,90,100,110,120,4,4,32
1,6,10,10,25,25,40,40,40,52,52,54,54,54,62,64,64,64,25,52,52
1,7,9,18,27,31,32,36,45,54,63,72,81,90,99,108,117,126,25,93,31
1,8,1,5,14,24,28,36,45,48,55,60,76,84,98,100,105,120,64,84,50
1,9,5,8,9,10,10,10,10,13,15,16,20,22,23,24,25,26,10,16,32
1,10,3,6,10,21,28,32,43,45,50,53,58,67,74,86,89,91,60,16,32
1,11,2,4,6,10,11,13,15,18,19,20,22,24,26,28,30,31,11,4,8
1,12,31,32,32,32,32,32,32,32,32,33,64,64,64,64,64,128,32,32,32
1,13,5,10,15,20,25,30,35,40,45,50,57,75,80,100,120,125,64,65,100
1,14,0,1,3,10,14,16,28,32,35,50,62,64,84,91,100,128,64,46,31
1,15,4,8,12,17,21,22,24,27,32,39,43,63,77,82,100,128,32,11,45
1,16,5,5,5,5,10,10,10,10,15,15,15,15,20,20,20,20,20,16,32
1,17,10,11,17,18,19,20,22,29,31,38,40,46,50,55,69,100,25,35,29
2,1,3,3,32,32,32,32,32,32,32,32,64,64,64,64,64,64,15,41,32
2,2,10,15,15,17,18,20,20,23,24,24,26,28,30,32,36,38,24,40,58
2,3,8,10,10,10,10,15,15,15,20,20,20,20,20,20,30,32,10,32,32
2,4,0,0,0,1,1,1,1,10,10,10,10,10,10,15,20,128,7,0,32
2,5,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,8,4,32
2,6,10,12,13,14,14,14,15,15,15,20,20,21,22,23,24,25,22,52,52
2,7,20,20,23,30,30,31,32,45,50,55,60,64,64,75,89,98,45,93,31
2,8,1,2,3,5,6,8,10,12,17,22,23,25,28,36,45,52,35,84,50
2,9,10,10,10,13,16,20,20,20,20,20,32,32,32,32,32,32,10,16,32
2,10,2,2,3,3,10,10,15,15,20,20,32,32,54,54,62,62,32,16,32
2,11,2,5,5,5,7,8,9,10,10,12,14,18,20,22,25,26,15,4,8
2,12,1,13,20,20,20,20,32,32,32,32,32,32,32,32,64,64,32,32,32
2,13,3,7,12,16,19,23,24,25,26,41,46,52,57,60,61,64,32,65,100
2,14,2,4,6,11,12,16,20,21,24,35,39,43,47,50,64,128,45,46,31
2,15,11,12,17,20,22,24,25,26,28,30,32,35,39,40,45,50,17,11,45
2,16,2,3,4,5,8,10,10,12,15,15,15,15,15,17,20,35,15,16,32
2,17,2,3,5,7,10,17,18,19,20,22,25,25,29,40,48,64,29,35,29
3,1,3,4,5,5,5,5,5,6,7,10,10,10,10,10,16,16,6,41,32
3,2,5,5,5,5,6,6,7,7,8,9,10,10,10,12,13,15,7,40,58
3,3,5,6,7,8,8,9,10,11,12,13,14,15,16,20,24,25,8,32,32
3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,128,0,32
3,5,5,5,10,10,15,15,15,20,20,25,25,30,30,35,35,40,17,4,32
3,6,5,5,6,7,7,8,8,8,10,10,11,12,20,25,32,52,6,52,52
3,7,1,7,10,20,20,30,30,30,32,32,32,35,36,39,64,64,30,93,31
3,8,1,2,3,4,5,6,7,8,9,10,14,15,16,18,20,25,14,84,50
3,9,5,5,5,5,5,10,10,10,10,10,10,10,10,16,16,16,8,16,32
3,10,2,2,5,5,8,8,10,10,16,16,20,20,25,25,30,30,5,16,32
3,11,4,5,5,6,10,10,15,15,15,20,20,24,26,27,30,40,15,4,8
3,12,1,1,4,7,8,10,10,13,15,20,20,21,27,32,32,100,16,32,32
3,13,3,7,9,12,15,17,20,23,24,24,25,25,26,27,30,32,8,65,100
3,14,1,2,4,5,10,11,13,16,19,20,21,25,32,38,47,64,16,46,31
3,15,5,5,6,7,7,8,9,10,10,12,15,15,15,20,20,20,15,11,45
3,16,3,5,7,7,8,8,10,10,10,10,12,13,15,15,15,25,7,16,32
3,17,3,5,8,10,10,15,17,18,19,19,20,20,22,25,25,29,8,35,29
4,1,5,8,8,8,9,9,10,10,10,16,16,16,32,64,128,128,10,41,32
4,2,5,5,6,6,7,7,7,7,8,8,8,9,9,9,9,10,6,40,58
4,3,5,6,6,7,7,8,9,9,10,10,10,12,12,15,20,32,10,32,32
4,4,3,3,3,6,6,6,9,9,10,10,10,10,10,16,16,128,5,0,32
4,5,5,5,5,5,5,10,10,10,10,10,10,15,20,20,20,20,15,4,32
4,6,2,3,4,4,4,4,6,6,6,7,8,8,8,8,10,32,3,52,52
4,7,1,7,7,8,8,9,10,10,11,20,21,21,32,32,60,126,10,93,31
4,8,4,5,6,6,6,8,8,8,8,10,12,12,14,15,20,22,10,84,50
4,9,8,8,8,8,8,8,16,16,16,16,16,16,16,16,88,128,8,16,32
4,10,2,2,3,3,5,5,17,17,19,20,27,27,30,30,63,100,3,16,32
4,11,2,2,4,6,6,6,8,8,10,12,14,15,15,18,20,24,6,4,8
4,12,1,1,2,2,3,4,6,7,8,8,10,13,14,15,16,128,16,32,32
4,13,3,5,5,6,6,7,7,12,12,16,17,20,21,50,77,128,5,65,100
4,14,2,3,5,6,7,9,10,16,16,19,20,25,37,44,50,60,3,46,31
4,15,2,2,4,5,6,6,8,10,14,18,20,25,30,50,100,128,14,11,45
4,16,4,4,5,5,6,6,6,7,7,8,8,10,10,12,15,30,6,16,32
4,17,2,3,4,4,4,4,4,5,7,8,10,10,19,22,29,37,4,35,29
