Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Africa Eastern and Southern,AFE,19313106301.7896,19723488056.8439,21493920015.0151,25733212133.7837,23527443250.685,26810567153.9916,29152157362.4028,30173172662.6784,32877055828.8475,37744346869.0476,40315782854.2986,44476662702.8768,48301485013.5712,62983498804.5895,78250886611.1516,83435565922.8584,83210426601.596,94988948105.4857,106346142736.477,124498228018.333,156512735720.642,160378053768.439,154669356787.555,159757514563.7,146021918891.396,130439822969.054,147025178146.934,179739456625.959,189003280051.478,194543353913.705,212336051488.558,220763711128.518,220218785937.895,234035169208.665,239088300074.374,269689336126.775,268440412907.73,282213512990.631,265837711929.972,262197179765.274,283952504751.698,258843211433.203,264895032411.725,352692089583.594,438875574172.163,512259874365.035,575976209979.202,661242216575.303,708354291357.645,712557951490.059,847409491176.197,943378184761.64,950521438838.682,964242449960.242,984807065632.553,919930022724.422,873354876607.317,985355704660.083,1012853224905.79,1009909855421.84,920792331527.746,
Afghanistan,AFG,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,,,,,,,,,,,,,,,,,,,,,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109305182.952,12416161048.8412,15856678596.148,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206,
Africa Western and Central,AFW,10404280784.1531,11128050589.2821,11943353288.4767,12676515453.6754,13838577015.1848,14862472886.1754,15832846880.9342,14426432397.412,14880350847.4193,16882094302.9685,23504608014.6703,20832819361.2583,25264956496.1857,31273822294.4754,44214489605.7396,51444737234.3198,62129396932.5444,65315014927.362,71199715512.1281,88628410997.2053,112031316716.518,211003522772.267,187163730429.134,138115205724.066,114262672752.222,116507304373.059,107497531255.437,110321757308.765,108943462603.12,101768781748.054,121802185300.139,117457042740.623,118282284598.653,98826405551.0238,86281770253.474,108221322522.552,125763049173.424,127063932192.748,130106844606.853,137520164451.485,140407973778.931,148012003011.166,176933365387.396,204641949829.561,254090255061.056,310554338477.887,393296680919.431,461777599573.788,566425696836.635,506996402016.437,591582966686.497,670962551547.58,727571396578.054,820787588844.362,864966625366.588,760729687146.574,690543020916.229,683741574626.192,741691624372.788,794572474605.872,784587603322.866,
Australia,AUS,18606786874.23,19683055213.3498,19922723709.262,21539926083.548,23801097547.3177,25977153096.6514,27309889125.322,30444618658.3044,32716989584.4999,36686079068.2047,41337215813.6409,45222309329.1522,52051401869.1589,63844971172.3254,88981577008.1061,97333060221.2208,105101474851.885,110387703601.744,118535980148.883,134941497216.858,150032311977.716,176953442470.684,194104601125.455,177333645297.146,193593551892.773,180573751629.976,182368494683.828,189400476442.562,236065919674.04,299767934207.312,311326664101.578,325902990346.127,325480273782.973,312126194491.287,322807333102.733,367915800415.8,401089529590.288,435323994365.315,399404463135.047,389098884572.001,415576210513.094,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,
Austria,AUT,6592693841.18495,7311749633.36229,7756110210.11966,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15373005557.0257,17858486066.7474,22059612476.9332,29515467706.796,35189299911.6608,40059206763.056,42959976221.5234,51545758887.6863,62052259073.2493,73937296963.4586,82058912997.2346,71034228443.062,71275287569.5733,72121016546.6524,67985344886.8716,69386774408.0872,99036164939.1618,124168442533.74,133339397080.129,133105805512.22,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515,
Burundi,BDI,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.962963,165444571.428571,178297142.857143,183200000.0,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.623188,547535555.555556,610225555.555556,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135246.50004,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2732808556.84172,2748180473.71333,2668495742.88443,2631434363.22693,2841786382.19063,
Belgium,BEL,11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26706196046.7931,29821661869.912,37209418018.5134,47743801490.3747,56033077879.0389,65678189097.2908,71113882967.6071,82839905458.6382,101246526194.441,116315456796.918,126829314388.191,104730018470.23,92095926187.5331,87184239053.2544,83349530159.1734,86268264148.3796,120018787249.413,149394404105.889,162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258158533986.789,236204532891.1,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616,
Benin,BEN,226195579.35701,235668222.429984,236434906.75427,253927646.475909,269818988.259263,289908720.648622,302925280.773564,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.965107,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.23882,1291119965.11262,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,3677394291.51516,3519991326.48464,3666222600.09828,4194342849.46574,5349258334.31914,6190270756.13743,6567654493.50831,7034111651.4964,8169048690.05254,9787735426.00897,9738626993.27696,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821,15651545331.5404,
Burkina Faso,BFA,330442817.168859,350247237.11684,379567023.340308,394040588.303477,410321618.17137,422916848.424208,433889831.584706,450753993.176448,460442678.217048,478298597.556707,458404330.125096,482411103.787272,578595583.975723,674773518.411839,751133330.591384,939972703.463021,976547163.53387,1131224818.33053,1475583383.37265,1748480982.18517,1928719477.41287,1775842026.4121,1754449845.3012,1600278756.43589,1459880018.54646,1552493068.4254,2036303381.20142,2369834650.08921,2616040645.87263,2615587725.77391,3101300641.87512,3135045684.1006,3356692517.86417,3199536227.94818,1895290623.44033,2379518099.2266,2586550747.09844,2447668984.53131,2804902248.28537,3389566982.51573,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,
Bangladesh,BGD,4274893913.49536,4817580183.60155,5081413339.78635,5319458351.16235,5386054619.34987,5906636557.00092,6439687598.32325,7253575399.3215,7483685473.51275,8471006100.95399,8992721809.39332,8751842839.79658,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000.0,22278423076.9231,21774033333.3333,24298032258.0645,26579005760.3486,28781714763.8012,31598341233.559,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302571320445.75,323056957972.312,
