,COUNTRY,Country,SERIES,Series,PERIOD,Pay period,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
0,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,7.07,,
1,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,6.97,,
2,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,6.9,,
3,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,6.83,,
4,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,7.01,,
5,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,7.33,,
6,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,7.47,,
7,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,7.68,,
8,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,7.76,,
9,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,8.1,,
10,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,8.07,,
11,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,7.91,,
12,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,7.72,,
13,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2013,2013,USD,US Dollar,0,Units,,,7.66,,
14,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2014,2014,USD,US Dollar,0,Units,,,7.67,,
15,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2015,2015,USD,US Dollar,0,Units,,,7.76,,
16,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2016,2016,USD,US Dollar,0,Units,,,7.85,,
17,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2017,2017,USD,US Dollar,0,Units,,,8.31,,
18,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2018,2018,USD,US Dollar,0,Units,,,8.5,,
19,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2019,2019,USD,US Dollar,0,Units,,,10.32,,
20,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2020,2020,USD,US Dollar,0,Units,,,10.94,,
21,ESP,Spain,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2021,2021,USD,US Dollar,0,Units,,,10.66,,
22,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2000,2000,USD,US Dollar,0,Units,,,10.33,,
23,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2001,2001,USD,US Dollar,0,Units,,,10.53,,
24,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2002,2002,USD,US Dollar,0,Units,,,10.67,,
25,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2003,2003,USD,US Dollar,0,Units,,,10.85,,
26,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2004,2004,USD,US Dollar,0,Units,,,11.21,,
27,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2005,2005,USD,US Dollar,0,Units,,,11.65,,
28,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2006,2006,USD,US Dollar,0,Units,,,11.94,,
29,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2007,2007,USD,US Dollar,0,Units,,,12.07,,
30,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2008,2008,USD,US Dollar,0,Units,,,12.09,,
31,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2009,2009,USD,US Dollar,0,Units,,,12.3,,
32,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2010,2010,USD,US Dollar,0,Units,,,12.21,,
33,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2011,2011,USD,US Dollar,0,Units,,,12.2,,
34,FRA,France,PPP,In 2021 constant prices at 2021 USD PPPs,H,Hourly,2012,2012,USD,US Dollar,0,Units,,,12.36,,
