,datetime,duration,title,genres,release_date,movie_id,user_id
0,2017-01-01 15:17:47,10530.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,7cbcc791bf
1,2017-01-01 19:43:06,4903.0,The Water Diviner,"Drama, History, War",2014-12-26,7165c2fc94,8e1be40e32
2,2017-01-01 19:46:24,3845.0,Ratter,"Drama, Horror, Thriller",2016-02-12,c39aae36c3,cff8ea652a
3,2017-01-01 20:55:46,6175.0,28 Days,"Comedy, Drama",2000-04-14,584bffaf5f,759ae2eac9
4,2017-01-01 21:33:26,38120.0,The SpongeBob SquarePants Movie,"Animation, Action, Adventure, Comedy, Family, Fantasy",2004-11-19,a80d6fc2aa,5b1727dc12
5,2017-01-01 21:37:41,7799.0,Beasts of No Nation,"Drama, War",2015-10-16,c57e11da52,3142b4c730
6,2017-01-01 00:19:40,54195.0,About Last Night,"Comedy, Romance",2014-02-14,f7d088d208,78cdb81c4f
7,2017-01-01 00:49:03,44413.0,Fight Club,Drama,1999-10-15,338abadc17,ac30a85c52
8,2017-01-01 11:05:46,621.0,Joe and Caspar Hit the Road,"Documentary, Adventure, Comedy",2015-11-23,416464eaad,7726b5615e
9,2017-01-01 16:05:02,581.0,Vendetta,"Action, Drama",2015-06-12,c74aec7673,ebf43c36b6
10,2017-01-01 17:21:04,2400.0,Clueless,"Comedy, Romance",1995-07-19,fc8d2d5cbc,614abddbe8
11,2017-01-01 18:13:17,3600.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,7cbcc791bf
12,2017-01-01 19:12:42,598.0,Dark Skies,"Horror, Sci-Fi, Thriller",2013-02-22,90c9781e18,1ec083a8bd
13,2017-01-01 20:22:10,6656.0,The SpongeBob SquarePants Movie,"Animation, Action, Adventure, Comedy, Family, Fantasy",2004-11-19,a80d6fc2aa,177868f4f8
14,2017-01-01 22:51:50,1799.0,The Great Raid,"Action, Drama, War",2005-08-12,039b55dbba,2c66cc607c
15,2017-01-01 23:47:40,12814.0,Only the Dead,"Documentary, Biography, History, War",2016-02-15,202e59f335,3142b4c730
16,2017-01-01 00:54:51,8135.0,The Twilight Saga: Breaking Dawn: Part 1,"Adventure, Drama, Fantasy, Romance, Thriller",2011-11-18,1e532cd770,5a89eb4a3e
17,2017-01-01 04:28:58,642.0,Dumb and Dumber To,Comedy,2014-11-14,813e27a9ea,99db16d0c4
18,2017-01-01 12:48:39,39124.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,714c0fa524
19,2017-01-01 13:09:16,11009.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,ac30a85c52
20,2017-01-01 21:41:23,1639.0,The Curse of Sleeping Beauty,"Fantasy, Horror, Mystery, Thriller",2016-06-02,f26ed2675e,25a4de9d06
21,2017-01-01 21:49:55,67083.0,Pain & Gain,"Action, Comedy, Crime, Drama, Thriller",2013-04-26,b0c5e7aaac,1e3b3ccb0c
22,2017-01-01 22:56:40,383.0,The Mechanic,"Action, Thriller",2011-01-28,834a97c522,93e9369e81
23,2017-01-01 23:23:40,159358.0,That's My Boy,Comedy,2012-06-15,f01883fd7e,c6f7030048
24,2017-01-01 16:12:45,9599.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,ac30a85c52
25,2017-01-01 21:52:38,16258.0,Ip Man 3,"Action, Biography, Drama",2015-12-24,acbce26bb9,8e1be40e32
26,2017-01-01 22:00:38,10968.0,Gone Girl,"Drama, Mystery, Thriller",2014-10-03,4abd6a2b0a,fcae981ae5
27,2017-01-01 23:18:10,81405.0,A Perfect Day,NOT AVAILABLE,NOT AVAILABLE,9e898f41e0,8aff21d9e9
28,2017-01-01 03:11:25,28262.0,The Twilight Saga: Breaking Dawn: Part 1,"Adventure, Drama, Fantasy, Romance, Thriller",2011-11-18,1e532cd770,5a89eb4a3e
29,2017-01-01 10:08:05,600.0,Fury,"Action, Drama, War",2014-10-17,3d60fbd028,8a757371a2
30,2017-01-01 12:32:47,7998.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,ebca7bd45f
31,2017-01-01 12:38:12,5574.0,Mr. Pig,Drama,2016-07-22,5347fd6bfd,1df08c2680
32,2017-01-01 13:56:20,3646376.0,My Little Pony Equestria Girls: Rainbow Rocks,"Animation, Adventure, Comedy, Family, Fantasy, Musical",2014-09-27,bb4a74881d,0d16a12147
33,2017-01-01 15:31:30,2072.0,Green Room,"Horror, Music, Thriller",2016-05-13,43bb6de314,f1b9913564
34,2017-01-01 16:04:07,9606.0,Dinosaur 13,Documentary,2014-08-15,990f4c7feb,d3b4bde8ce
35,2017-01-01 16:54:18,98989.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,17ff0d0e01
36,2017-01-01 18:55:14,18891.0,November Rule,Comedy,2015-02-14,336689ad43,43ddc124eb
37,2017-01-01 20:13:00,60824.0,The Big Short,"Biography, Comedy, Drama, History",2015-12-23,9abc46d80e,9d05ddd120
38,2017-01-01 20:33:48,1652.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,c5bf4f3f57
39,2017-01-01 22:13:17,5704.0,Shrek 2,"Animation, Adventure, Comedy, Family, Fantasy, Romance",2004-05-19,f1fccba87c,177868f4f8
40,2017-01-01 22:13:52,1595.0,The Curse of Sleeping Beauty,"Fantasy, Horror, Mystery, Thriller",2016-06-02,f26ed2675e,25a4de9d06
41,2017-01-01 22:42:41,145822.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,076b8f97a5
42,2017-01-01 11:33:23,600.0,Mea Maxima Culpa: Silence in the House of God,Documentary,2012-11-16,2bc8a9517a,3ebc10be7f
43,2017-01-01 14:34:43,12600.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,b955f1bac0
44,2017-01-01 14:58:58,11419.0,Deep Web,Documentary,2015-11-21,4b63ff5495,3ebc10be7f
45,2017-01-01 18:10:33,2001.0,Gnomeo and Juliet,"Animation, Adventure, Comedy, Family, Romance",2011-02-11,71c8779809,93e3ad282f
46,2017-01-01 18:22:00,6600.0,Zookeeper,"Comedy, Family, Fantasy, Romance",2011-07-08,8762763a6b,c881afdc6e
47,2017-01-01 19:28:34,6916.0,Olympus Has Fallen,"Action, Thriller",2013-03-22,f3c1890736,3a142199a8
48,2017-01-01 20:21:15,1361.0,Safe,"Action, Crime, Thriller",2012-04-27,5035319a63,18c10ac8e5
49,2017-01-01 22:42:40,2402028.0,The Choice,"Drama, Romance",2016-02-05,9da0474748,8fac681d9f
50,2017-01-01 23:17:01,56977.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,456ffa0e1e
51,2017-01-01 00:53:46,36155.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,486a57961f
52,2017-01-01 01:41:52,50475.0,The Choice,"Drama, Romance",2016-02-05,9da0474748,b32652b1e8
53,2017-01-01 10:18:05,32038.0,Maximum Ride,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Thriller",2016-08-30,fff9fbe077,8a757371a2
54,2017-01-01 10:31:42,1129.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,29435cd57d
55,2017-01-01 12:47:30,543.0,Hunting Britain's Most Wanted,NOT AVAILABLE,NOT AVAILABLE,be096a4a5a,3cf91dd97e
56,2017-01-01 12:54:57,10957.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,4bcc977c63
57,2017-01-01 15:10:44,5023.0,Into the Inferno,Documentary,2016-10-28,f2285bd5d1,7b60c0e82f
58,2017-01-01 18:52:44,58784.0,Ratchet and Clank,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2016-04-29,b264b980a6,ac30a85c52
59,2017-01-01 19:03:10,10933.0,Twilight,"Drama, Fantasy, Romance",2008-11-21,40bccd3001,544dcbc510
60,2017-01-01 20:50:49,435812.0,45 Years,"Drama, Romance",2015-08-28,45e1e030fb,1794ec0ab9
61,2017-01-01 05:31:47,6474.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,692e4b9cce
62,2017-01-01 14:46:52,1199.0,The Jihadis Next Door,Documentary,2016-01-19,01230408ce,cdb63c2b55
63,2017-01-01 15:37:38,6902.0,Sour Grapes,Documentary,2016-09-16,2d6b1ab7d6,ec498bb9e6
64,2017-01-01 17:16:47,8817.0,Fury,"Action, Drama, War",2014-10-17,3d60fbd028,f1b9913564
65,2017-01-01 18:48:26,323.0,Erased,"Action, Thriller",2012-09-26,6f13eab90c,3195ebddb2
66,2017-01-01 21:30:09,1095.0,Wild Card,"Action, Crime, Drama, Thriller",2015-01-14,5b9611ce98,38d9af74ac
67,2017-01-01 22:00:08,684919.0,The African Doctor,"Biography, Comedy, Drama",2016-06-08,af8020a1f4,482c22d704
68,2017-01-01 16:07:34,3443.0,The Woman in Black: Angels of Death,"Drama, Horror, Thriller",2015-01-02,18545ebd1f,4bcc977c63
69,2017-01-01 19:11:18,6080.0,Anger Management,Comedy,2003-04-11,7ef540d7d1,e04156b72c
70,2017-01-01 20:44:21,920.0,Annie,"Comedy, Drama, Family, Musical",2014-12-19,c4d5226efa,18c10ac8e5
71,2017-01-01 21:48:24,1267.0,Wild Card,"Action, Crime, Drama, Thriller",2015-01-14,5b9611ce98,38d9af74ac
72,2017-01-01 22:24:57,74962.0,Minimalism: A Documentary About the Important Things,Documentary,NOT AVAILABLE,4d5756f511,e1a8485e15
