Year,Country,Life Expectancy,Health expenditure,GDP per capita,Obesity among adults
2000-01-01,Albania,73.955,7.2333703,3860.804627,12.8
2001-01-01,Albania,74.288,7.13952398,4299.546493,13.3
2002-01-01,Albania,74.579,6.90934134,4661.402695,13.9
2003-01-01,Albania,74.828,7.06348991,5000.049363,14.4
2004-01-01,Albania,75.039,6.77337217,5427.732662,15.0
2005-01-01,Albania,75.228,6.33554173,5865.301904,15.6
2006-01-01,Albania,75.423,6.00927734,6566.572828,16.2
2007-01-01,Albania,75.646,6.31683397,7283.342638,16.9
2008-01-01,Albania,75.912,5.1390624,8228.348041,17.5
2009-01-01,Albania,76.221,4.6022253,8813.029461,18.1
2010-01-01,Albania,76.562,4.7457962,9628.721962,18.7
2011-01-01,Albania,76.914,4.79534149,10207.76757,19.3
2012-01-01,Albania,77.252,5.05526543,10526.25918,19.9
2013-01-01,Albania,77.554,5.38561106,10570.96373,20.5
2014-01-01,Albania,77.813,5.50347328,11259.26751,21.1
2015-01-01,Albania,78.025,4.89631176,11658.90552,21.7
2000-01-01,Algeria,70.64,3.48903275,8436.99096,15.0
2001-01-01,Algeria,71.116,3.83787704,8770.253502,15.5
2002-01-01,Algeria,71.605,3.7300415,9286.56088,16.1
2003-01-01,Algeria,72.101,3.60104108,10022.96478,16.7
2004-01-01,Algeria,72.594,3.5440731,10594.04572,17.3
2005-01-01,Algeria,73.072,3.2351613,11411.19178,17.9
2006-01-01,Algeria,73.521,3.35510182,11788.56019,18.6
2007-01-01,Algeria,73.936,3.8214159,12326.07701,19.2
2008-01-01,Algeria,74.311,4.20188379,12655.21847,19.9
2009-01-01,Algeria,74.644,5.3593955,12719.17915,20.7
2010-01-01,Algeria,74.938,5.11717176,13096.88473,21.4
2011-01-01,Algeria,75.199,5.26748085,13500.04479,22.2
2012-01-01,Algeria,75.436,6.00050974,13303.32752,23.1
2013-01-01,Algeria,75.661,6.03576279,13056.80259,23.9
2014-01-01,Algeria,75.878,6.54721403,13003.26686,24.8
