Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62da6b22f2cf1093d2bc9e03,5bafc60e9b70d9000113d47a,APPROVED,2022-07-22T09:17:26.182000Z,2022-07-22T09:23:55.062000Z,2022-07-27T12:18:50.642000Z,,389,MBIMZO1R,717,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62da6b7f610347625139620d,5c7fd1dc4820c40017f8bf0e,APPROVED,2022-07-22T09:18:57.314000Z,2022-07-22T09:24:12.171000Z,2022-07-27T12:50:48.145000Z,,315,MBIMZO1R,505,24,Female,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time
62da6b8a5406dc30df9cf8e9,5db97204c4197a000da3aa3f,APPROVED,2022-07-22T09:19:10.802000Z,2022-07-22T09:24:29.454000Z,2022-07-27T12:50:48.348000Z,,319,MBIMZO1R,448,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6ba150ce848450f3008b,5f10c4660dd59c142b1cb359,APPROVED,2022-07-22T09:19:32.386000Z,2022-07-22T09:27:35.934000Z,2022-07-27T12:50:48.548000Z,,484,MBIMZO1R,160,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6ba9e153671e70f85b04,602af18d3b8daf1e8c94f803,APPROVED,2022-07-22T09:19:41.153000Z,2022-07-22T09:29:23.159000Z,2022-07-27T12:50:48.739000Z,,583,MBIMZO1R,244,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6bc26103476251396216,5f4cf8b0030fef9385cd6644,APPROVED,2022-07-22T09:20:04.269000Z,2022-07-22T09:39:44.113000Z,2022-07-27T12:50:48.929000Z,,1180,MBIMZO1R,134,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
62da6c0e644989d2f6c5e47e,6118e34c12e073d9e4375780,APPROVED,2022-07-22T09:21:22.673000Z,2022-07-22T09:28:40.822000Z,2022-07-27T11:22:01.953000Z,,439,MBIMZO1R,327,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6c3b7f8dffc1b306c3c8,5f3ed5ec2e6b84178b699d47,APPROVED,2022-07-22T09:24:02.560000Z,2022-07-22T09:31:02.425000Z,2022-07-27T12:51:08.421000Z,,420,MBIMZO1R,585,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6c78e2ea1694f15030a0,5fa15d86f7079622c92cb127,APPROVED,2022-07-22T09:23:09.496000Z,2022-07-22T09:34:35.932000Z,2022-07-27T11:22:01.809000Z,,687,MBIMZO1R,691,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62da6cc6a13b9f07f8dddf37,5ed4b8618f8d7e47a87b5ecb,APPROVED,2022-07-22T09:24:25.130000Z,2022-07-22T09:29:32.871000Z,2022-07-27T12:51:08.594000Z,,308,MBIMZO1R,859,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6cca865a7a1432c61fa6,5ea1f6cfccdbab0fdc270855,APPROVED,2022-07-22T09:24:30.675000Z,2022-07-22T09:33:01.865000Z,2022-07-27T11:22:01.603000Z,,512,MBIMZO1R,718,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6cf641ea58e9b99d7525,60abb9d78254e6a39de7096f,APPROVED,2022-07-22T09:25:14.856000Z,2022-07-22T09:31:10.924000Z,2022-07-27T12:51:08.735000Z,,357,MBIMZO1R,75,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6d0e722934601ef8e40c,5648e4bf20453f0012c5ad3a,APPROVED,2022-07-22T09:25:38.001000Z,2022-07-22T09:32:46.462000Z,2022-07-27T12:51:08.875000Z,,429,MBIMZO1R,711,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6d1d1c9e6317a03961fd,6164acc0f56f7d1919dc53bf,APPROVED,2022-07-22T09:27:07.544000Z,2022-07-22T09:35:49.582000Z,2022-07-27T12:51:29.590000Z,,523,MBIMZO1R,250,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
62da6d284b399ea59256aa1a,5d230ae94c91350019d78e7a,APPROVED,2022-07-22T09:26:00.347000Z,2022-07-22T09:31:54.992000Z,2022-07-27T11:22:01.352000Z,,355,MBIMZO1R,719,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6d445b2d31e23f3094f0,56d700cafc7879000a77b658,APPROVED,2022-07-22T09:26:28.971000Z,2022-07-22T09:37:05.518000Z,2022-07-27T12:51:09.021000Z,,637,MBIMZO1R,631,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
62da6d473349a15cdac5e459,5d6c3846b537210001de8cbd,APPROVED,2022-07-22T09:26:33.218000Z,2022-07-22T09:44:58.425000Z,2022-07-27T12:51:09.163000Z,,1106,MBIMZO1R,72,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6d5e6a95c321fbbc9de3,62a722c563aec9bf8173de99,APPROVED,2022-07-22T09:26:57.784000Z,2022-07-22T09:39:13.254000Z,2022-07-27T11:22:01.147000Z,,736,MBIMZO1R,89,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6d67d02f50d7bf59ebea,604a5dd3e3965f6f53a81564,APPROVED,2022-07-22T09:27:06.115000Z,2022-07-22T09:32:01.302000Z,2022-07-27T12:51:29.446000Z,,296,MBIMZO1R,142,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6d67ea6aefeeae5ec451,5c46270c4beda000014e5ddd,APPROVED,2022-07-22T09:27:06.505000Z,2022-07-22T09:48:37.075000Z,2022-07-27T12:51:29.730000Z,,1291,MBIMZO1R,697,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
62da6d8a6b7ebe4ec2dd4356,57c465d10e6a1f00015f624a,APPROVED,2022-07-22T09:27:40.463000Z,2022-07-22T09:33:05.876000Z,2022-07-27T12:51:29.874000Z,,326,MBIMZO1R,169,34,Female,White,Germany,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6da42691471642d00587,55e7408b41988f001275d35f,APPROVED,2022-07-22T09:28:08.150000Z,2022-07-22T09:34:46.276000Z,2022-07-27T12:51:30.015000Z,,399,MBIMZO1R,464,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6da87f8dffc1b306c3e2,62cec31ec7f09e3c3df6a893,APPROVED,2022-07-22T09:29:05.034000Z,2022-07-22T09:36:59.167000Z,2022-07-27T11:22:00.636000Z,,475,MBIMZO1R,161,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
62da6da8b8369c1c04396214,542a893dfdf99b324f76329e,APPROVED,2022-07-22T09:28:10.772000Z,2022-07-22T09:35:30.031000Z,2022-07-27T12:51:30.164000Z,,440,MBIMZO1R,217,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6dcb90b888563119b527,5bec53532f98110001775b18,APPROVED,2022-07-22T09:28:46.978000Z,2022-07-22T09:35:55.725000Z,2022-07-27T12:51:30.309000Z,,429,MBIMZO1R,71,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6dd1b4d499f2ecf3008c,5c4080b404f6110001d6fa39,APPROVED,2022-07-22T09:32:04.318000Z,2022-07-22T09:44:26.906000Z,2022-07-27T12:51:51.318000Z,,743,MBIMZO1R,202,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6de895cfe10bb45a3a03,59f8719e8c95b80001362f88,APPROVED,2022-07-22T09:29:14.428000Z,2022-07-22T09:42:20.385000Z,2022-07-27T12:51:50.840000Z,,786,MBIMZO1R,432,52,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6df87e5e9f841ac5e47a,5fc6301ce9b9d3035a703cfe,APPROVED,2022-07-22T09:29:30.802000Z,2022-07-22T09:37:39.478000Z,2022-07-27T12:51:50.989000Z,,489,MBIMZO1R,560,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
62da6e0237a2ccee573961fa,62b32aea2620c02434f5c4ad,APPROVED,2022-07-22T09:29:38.613000Z,2022-07-22T09:36:32.704000Z,2022-07-27T11:22:00.427000Z,,415,MBIMZO1R,17,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62da6e17eefe276299d26cf1,5daccbd747b9d20013a2e63c,APPROVED,2022-07-22T09:30:04.245000Z,2022-07-22T09:38:09.407000Z,2022-07-27T12:51:51.153000Z,,486,MBIMZO1R,952,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62da6e2e6b48766ee49d751a,62cd88e1df0cde254eb742cc,APPROVED,2022-07-22T09:30:29.375000Z,2022-07-22T09:41:08.525000Z,2022-07-27T11:22:00.257000Z,,640,MBIMZO1R,10,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
