CCA3,Country/Territory,Continent,2020 Population,1970 Population,Area (kmsq),Density (per kmsq)
AFG,Afghanistan,Asia,38972230,10752971,652230,63.0587
ALB,Albania,Europe,2866849,2324731,28748,98.8702
DZA,Algeria,Africa,43451666,13795915,2381741,18.8531
ASM,American Samoa,Oceania,46189,27075,199,222.4774
AND,Andorra,Europe,77700,19860,468,170.5641
AGO,Angola,Africa,33428485,6029700,1246700,28.5466
AIA,Anguilla,North America,15585,6283,91,174.2527
ATG,Antigua and Barbuda,North America,92664,64516,442,212.1335
ARG,Argentina,South America,45036032,23842803,2780400,16.3683
ARM,Armenia,Asia,2805608,2534377,29743,93.4831
ABW,Aruba,North America,106585,59106,180,591.3611
AUS,Australia,Oceania,25670051,12595034,7692024,3.4032
AUT,Austria,Europe,8907777,7465301,83871,106.5877
AZE,Azerbaijan,Asia,10284951,5425317,86600,119.6082
BHS,Bahamas,North America,406471,179129,13943,29.4043
BHR,Bahrain,Asia,1477469,222555,765,1924.4876
BGD,Bangladesh,Asia,167420951,67541860,147570,1160.035
BRB,Barbados,North America,280693,241397,430,654.9651
BLR,Belarus,Europe,9633740,9170786,207600,45.9295
BEL,Belgium,Europe,11561717,9629376,30528,381.8111
BLZ,Belize,North America,394921,120905,22966,17.6466
BEN,Benin,Africa,12643123,3023443,112622,118.5635
BMU,Bermuda,North America,64031,52019,54,1188.5926
BTN,Bhutan,Asia,772506,298894,38394,20.3796
BOL,Bolivia,South America,11936162,4585693,1098581,11.1272
BIH,Bosnia and Herzegovina,Europe,3318407,3815561,51209,63.1437
BWA,Botswana,Africa,2546402,592244,582000,4.5194
BRA,Brazil,South America,213196304,96369875,8515767,25.2841
VGB,British Virgin Islands,North America,30910,9581,151,207.3179
BRN,Brunei,Asia,441725,133343,5765,77.8841
BGR,Bulgaria,Europe,6979175,8582950,110879,61.1654
BFA,Burkina Faso,Africa,21522626,5611666,272967,83.0641
BDI,Burundi,Africa,12220227,3497834,27834,463.0874
KHM,Cambodia,Asia,16396860,6708525,181035,92.6221
CMR,Cameroon,Africa,26491087,6452787,475442,58.7128
CAN,Canada,North America,37888705,21434577,9984670,3.8513
CPV,Cape Verde,Africa,582640,287262,4033,147.0739
CYM,Cayman Islands,North America,67311,10533,264,260.25
CAF,Central African Republic,Africa,5343020,2067356,622984,8.9555
TCD,Chad,Africa,16644701,3667394,1284000,13.8032
CHL,Chile,South America,19300315,9820481,756102,25.9274
CHN,China,Asia,1424929781,822534450,9706961,146.8933
COL,Colombia,South America,50930662,20905254,1141748,45.4339
COM,Comoros,Africa,806166,242351,1862,449.3953
COK,Cook Islands,Oceania,17029,20470,236,72.0805
CRI,Costa Rica,North America,5123105,1855697,51100,101.3861
HRV,Croatia,Europe,4096868,4492638,56594,71.2153
CUB,Cuba,North America,11300698,8869636,109884,102.0366
CUW,Curacao,North America,189288,150385,444,430.5473
CYP,Cyprus,Europe,1237537,640804,9251,135.2814
CZE,Czech Republic,Europe,10530953,9795744,78865,133.0627
DNK,Denmark,Europe,5825641,4922963,43094,136.4984
DJI,Djibouti,Africa,1090156,144379,23200,48.3125
DMA,Dominica,North America,71995,68895,751,96.8535
DOM,Dominican Republic,North America,10999664,4475871,48671,230.7087
COD,DR Congo,Africa,92853164,20151733,2344858,42.2244
ECU,Ecuador,South America,17588595,6172215,276841,65.0229
EGY,Egypt,Africa,107465134,34781986,1002450,110.7188
SLV,El Salvador,North America,6292731,3619090,21041,301.145
GNQ,Equatorial Guinea,Africa,1596049,316955,28051,59.7094
ERI,Eritrea,Africa,3555868,1272748,117600,31.3268
EST,Estonia,Europe,1329444,1361999,45227,29.3201
SWZ,Eswatini,Africa,1180655,442865,17364,69.2047
ETH,Ethiopia,Africa,117190911,28308246,1104300,111.7268
FLK,Falkland Islands,South America,3747,2274,12173,0.3105
FRO,Faroe Islands,Europe,52415,38416,1393,38.112
FJI,Fiji,Oceania,920422,527634,18272,50.8847
FIN,Finland,Europe,5529468,4606621,338424,16.3722
FRA,France,Europe,64480053,50523586,551695,117.1419
GUF,French Guiana,South America,290969,46484,83534,3.6459
PYF,French Polynesia,Oceania,301920,117891,4167,73.5011
GAB,Gabon,Africa,2292573,597192,267668,8.9252
GMB,Gambia,Africa,2573995,528731,10689,253.1567
GEO,Georgia,Asia,3765912,4800426,69700,53.7214
DEU,Germany,Europe,83328988,78294583,357114,233.4544
GHA,Ghana,Africa,32180401,8861895,238533,140.3406
GIB,Gibraltar,Europe,32709,26685,6,5441.5
GRC,Greece,Europe,10512232,8544873,131990,78.68
GRL,Greenland,North America,56026,45434,2166086,0.0261
GRD,Grenada,North America,123663,98794,344,364.6453
GLP,Guadeloupe,North America,395642,318310,1628,243.0909
GUM,Guam,Oceania,169231,88300,549,312.8852
GTM,Guatemala,North America,17362718,5453208,108889,163.8725
GGY,Guernsey,Europe,62794,52656,78,811.5513
GIN,Guinea,Africa,13205153,4222374,245857,56.3716
GNB,Guinea-Bissau,Africa,2015828,591663,36125,58.2856
GUY,Guyana,South America,797202,705261,214969,3.7621
HTI,Haiti,North America,11306801,4680812,27750,417.4773
HND,Honduras,North America,10121763,2782753,112492,92.7431
HKG,Hong Kong,Asia,7500958,3955072,1104,6783.3922
HUN,Hungary,Europe,9750573,10315366,93028,107.1431
ISL,Iceland,Europe,366669,204468,103000,3.6204
IND,India,Asia,1396387127,557501301,3287590,431.0675
IDN,Indonesia,Asia,271857970,115228394,1904569,144.6529
IRN,Iran,Asia,87290193,28449705,1648195,53.7258
IRQ,Iraq,Asia,42556984,9811347,438317,101.5158
IRL,Ireland,Europe,4946119,2937637,70273,71.4799
IMN,Isle of Man,Europe,84046,55298,572,147.7605
ISR,Israel,Asia,8757489,2907307,20770,435.1617
ITA,Italy,Europe,59500579,53324036,301336,195.9191
CIV,Ivory Coast,Africa,26811790,5477086,322463,87.3295
JAM,Jamaica,North America,2820436,1859091,10991,257.2447
JPN,Japan,Asia,125244761,105416839,377930,327.9753
JEY,Jersey,Europe,108319,68347,116,954.9828
JOR,Jordan,Asia,10928721,1557374,89342,126.3221
KAZ,Kazakhstan,Asia,18979243,12265305,2724900,7.1188
KEN,Kenya,Africa,51985780,11473087,580367,93.0919
KIR,Kiribati,Oceania,126463,57437,811,161.815
KWT,Kuwait,Asia,4360444,802786,17818,239.5821
KGZ,Kyrgyzstan,Asia,6424874,3016384,199951,33.1612
LAO,Laos,Asia,7319399,2675283,236800,31.7968
LVA,Latvia,Europe,1897052,2397414,64559,28.666
LBN,Lebanon,Asia,5662923,2381791,10452,525.2334
LSO,Lesotho,Africa,2254100,1023481,30355,75.962
LBR,Liberia,Africa,5087584,1463563,111369,47.6136
LBY,Libya,Africa,6653942,1909177,1759540,3.8717
LIE,Liechtenstein,Europe,38756,21089,160,245.7937
LTU,Lithuania,Europe,2820267,3210147,65300,42.1142
LUX,Luxembourg,Europe,630399,339342,2586,250.425
MAC,Macau,Asia,676283,247284,30,23172.2667
MDG,Madagascar,Africa,28225177,6639751,587041,50.4423
MWI,Malawi,Africa,19377061,4625141,118484,172.22
MYS,Malaysia,Asia,33199993,10306508,330803,102.5934
MDV,Maldives,Asia,514438,123243,300,1745.9567
