,pup_id,weight,sex,litter,litsize,treatment
0,1,6.6,Male,1,12,Control
1,2,7.4,Male,1,12,Control
2,3,7.15,Male,1,12,Control
3,4,7.24,Male,1,12,Control
4,5,7.1,Male,1,12,Control
5,6,6.04,Male,1,12,Control
6,7,6.98,Male,1,12,Control
7,8,7.05,Male,1,12,Control
8,9,6.95,Female,1,12,Control
9,10,6.29,Female,1,12,Control
10,11,6.77,Female,1,12,Control
11,12,6.57,Female,1,12,Control
12,13,6.37,Male,2,14,Control
13,14,6.37,Male,2,14,Control
14,15,6.9,Male,2,14,Control
15,16,6.34,Male,2,14,Control
16,17,6.5,Male,2,14,Control
17,18,6.1,Male,2,14,Control
18,19,6.44,Male,2,14,Control
19,20,6.94,Male,2,14,Control
20,21,6.41,Male,2,14,Control
21,22,5.92,Female,2,14,Control
22,23,6.04,Female,2,14,Control
23,24,5.82,Female,2,14,Control
24,25,6.04,Female,2,14,Control
25,26,5.96,Female,2,14,Control
26,27,7.5,Male,3,4,Control
27,28,7.08,Male,3,4,Control
28,29,7.57,Female,3,4,Control
29,30,7.27,Female,3,4,Control
30,31,6.25,Male,4,14,Control
31,32,6.93,Male,4,14,Control
32,33,6.8,Male,4,14,Control
33,34,6.69,Male,4,14,Control
34,35,6.28,Male,4,14,Control
35,36,6.27,Male,4,14,Control
36,37,6.27,Male,4,14,Control
37,38,6.47,Male,4,14,Control
38,39,6.29,Female,4,14,Control
39,40,5.98,Female,4,14,Control
40,41,6.32,Female,4,14,Control
41,42,6.28,Female,4,14,Control
42,43,5.65,Female,4,14,Control
43,44,5.57,Female,4,14,Control
44,45,7.96,Male,5,13,Control
45,46,6.84,Male,5,13,Control
46,47,7.0,Male,5,13,Control
47,48,8.1,Male,5,13,Control
48,49,6.52,Male,5,13,Control
49,50,7.23,Male,5,13,Control
50,51,6.1,Male,5,13,Control
51,52,7.31,Male,5,13,Control
52,53,7.16,Female,5,13,Control
53,54,7.09,Female,5,13,Control
54,55,7.14,Female,5,13,Control
55,56,5.02,Female,5,13,Control
56,57,6.04,Female,5,13,Control
57,58,8.26,Male,6,9,Control
58,59,7.73,Male,6,9,Control
59,60,8.33,Male,6,9,Control
60,61,6.14,Male,6,9,Control
61,62,7.75,Male,6,9,Control
62,63,6.96,Male,6,9,Control
63,64,7.26,Female,6,9,Control
64,65,6.58,Female,6,9,Control
65,66,3.68,Female,6,9,Control
66,67,6.29,Male,7,18,Control
67,68,6.32,Male,7,18,Control
68,69,6.28,Male,7,18,Control
69,70,6.24,Male,7,18,Control
70,71,6.78,Male,7,18,Control
71,72,6.63,Male,7,18,Control
72,73,6.27,Male,7,18,Control
73,74,6.29,Male,7,18,Control
74,75,6.06,Male,7,18,Control
75,76,6.16,Female,7,18,Control
76,77,5.96,Female,7,18,Control
77,78,6.26,Female,7,18,Control
78,79,5.83,Female,7,18,Control
79,80,6.11,Female,7,18,Control
80,81,6.45,Female,7,18,Control
81,82,6.25,Female,7,18,Control
82,83,6.31,Female,7,18,Control
83,84,5.74,Female,7,18,Control
84,85,6.04,Male,8,17,Control
85,86,5.84,Male,8,17,Control
86,87,6.77,Male,8,17,Control
87,88,5.59,Male,8,17,Control
88,89,5.52,Male,8,17,Control
89,90,6.42,Male,8,17,Control
90,91,5.97,Male,8,17,Control
91,92,6.34,Male,8,17,Control
92,93,6.23,Female,8,17,Control
93,94,5.95,Female,8,17,Control
94,95,6.16,Female,8,17,Control
95,96,6.19,Female,8,17,Control
96,97,5.32,Female,8,17,Control
97,98,5.0,Female,8,17,Control
98,99,6.3,Female,8,17,Control
99,100,5.0,Female,8,17,Control
100,101,5.56,Female,8,17,Control
101,102,5.37,Male,9,17,Control
102,103,5.58,Male,9,17,Control
103,104,5.51,Male,9,17,Control
104,105,5.19,Male,9,17,Control
105,106,5.34,Male,9,17,Control
106,107,5.77,Male,9,17,Control
107,108,5.17,Male,9,17,Control
108,109,4.57,Male,9,17,Control
109,110,5.39,Male,9,17,Control
110,111,5.62,Male,9,17,Control
111,112,5.4,Male,9,17,Control
112,113,5.77,Male,9,17,Control
113,114,5.24,Male,9,17,Control
114,115,5.37,Female,9,17,Control
115,116,5.33,Female,9,17,Control
116,117,5.44,Female,9,17,Control
117,118,5.14,Female,9,17,Control
118,119,7.3,Male,10,13,Control
119,120,6.6,Male,10,13,Control
120,121,6.58,Male,10,13,Control
121,122,6.68,Male,10,13,Control
122,123,6.46,Male,10,13,Control
123,124,6.38,Male,10,13,Control
124,125,6.44,Female,10,13,Control
125,126,6.67,Female,10,13,Control
126,127,6.43,Female,10,13,Control
127,128,6.53,Female,10,13,Control
128,129,5.92,Female,10,13,Control
129,130,6.52,Female,10,13,Control
130,131,6.44,Female,10,13,Control
131,132,5.65,Male,11,16,Low
132,133,5.78,Male,11,16,Low
133,134,6.23,Male,11,16,Low
134,135,5.7,Male,11,16,Low
135,136,5.73,Male,11,16,Low
136,137,6.1,Male,11,16,Low
137,138,5.55,Male,11,16,Low
138,139,5.71,Male,11,16,Low
139,140,5.81,Male,11,16,Low
140,141,6.1,Male,11,16,Low
141,142,5.54,Female,11,16,Low
142,143,5.72,Female,11,16,Low
143,144,5.5,Female,11,16,Low
144,145,5.64,Female,11,16,Low
145,146,5.42,Female,11,16,Low
146,147,5.42,Female,11,16,Low
147,148,6.89,Female,12,2,Low
148,149,7.73,Female,12,2,Low
149,150,5.83,Male,13,12,Low
150,151,5.97,Male,13,12,Low
151,152,6.39,Male,13,12,Low
152,153,5.69,Male,13,12,Low
153,154,5.69,Male,13,12,Low
154,155,5.97,Male,13,12,Low
155,156,6.04,Male,13,12,Low
156,157,5.46,Male,13,12,Low
157,158,6.09,Female,13,12,Low
158,159,5.39,Female,13,12,Low
159,160,5.89,Female,13,12,Low
160,161,5.14,Female,13,12,Low
161,162,5.92,Male,14,15,Low
162,163,5.75,Male,14,15,Low
163,164,6.22,Male,14,15,Low
164,165,5.96,Male,14,15,Low
165,166,5.59,Male,14,15,Low
166,167,5.79,Male,14,15,Low
167,168,6.23,Male,14,15,Low
168,169,5.88,Male,14,15,Low
169,170,6.02,Male,14,15,Low
170,171,5.66,Female,14,15,Low
171,172,5.76,Female,14,15,Low
172,173,5.73,Female,14,15,Low
173,174,5.33,Female,14,15,Low
174,175,5.58,Female,14,15,Low
175,176,5.88,Female,14,15,Low
176,177,6.0,Male,15,13,Low
177,178,6.11,Male,15,13,Low
178,179,6.4,Male,15,13,Low
179,180,6.06,Male,15,13,Low
180,181,6.39,Male,15,13,Low
181,182,6.09,Male,15,13,Low
182,183,6.32,Male,15,13,Low
183,184,5.96,Female,15,13,Low
184,185,6.32,Female,15,13,Low
185,186,5.83,Female,15,13,Low
186,187,5.97,Female,15,13,Low
187,188,5.87,Female,15,13,Low
188,189,5.67,Female,15,13,Low
189,190,6.43,Male,16,13,Low
190,191,6.13,Male,16,13,Low
191,192,5.87,Male,16,13,Low
192,193,6.09,Female,16,13,Low
193,194,5.63,Female,16,13,Low
194,195,5.84,Female,16,13,Low
195,196,6.2,Female,16,13,Low
196,197,6.42,Female,16,13,Low
197,198,5.9,Female,16,13,Low
198,199,5.62,Female,16,13,Low
199,200,6.23,Female,16,13,Low
200,201,5.85,Female,16,13,Low
201,202,5.89,Female,16,13,Low
202,203,5.81,Male,17,14,Low
203,204,5.44,Male,17,14,Low
204,205,5.65,Male,17,14,Low
205,206,5.25,Male,17,14,Low
206,207,5.45,Male,17,14,Low
