priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
4977.375566,2021,09/04/2021,F,L,330000,GU25 4AF,E07000212,{C18F412B-5724-81A6-E053-6B04A8C0AD18},12285205,66.3,3,11,77,78,England and Wales: 1950-1966
5440.441176,2021,01/06/2021,F,L,369950,GU25 4AF,E07000212,{CD5A9DCC-59F7-310A-E053-6C04A8C00A1F},12269452,68,3,11,62,69,England and Wales: 1950-1966
4575.757576,2021,15/10/2021,F,L,302000,GU25 4AF,E07000212,{DBA933FA-0326-669D-E053-6B04A8C0AD56},12285616,66,3,11,69,78,England and Wales: 1950-1966
4514.705882,2021,25/06/2021,F,L,307000,GU25 4AG,E07000212,{CFC9085D-0CDF-9A70-E053-6B04A8C09D6A},12269385,68,3,11,66,79,England and Wales: 1950-1966
6339.712919,2021,07/01/2021,D,F,2650000,GU25 4AJ,E07000212,{BC8936BB-F772-0E2C-E053-6C04A8C0DBF4},12262765,418,11,12,80,83,INVALID!
5319.634703,2021,26/02/2021,D,F,1165000,GU25 4AL,E07000212,{C6209F5F-D4C9-295E-E053-6C04A8C0DDCC},12263672,219,7,11,62,76,England and Wales: 1950-1966
8584.070796,2021,29/01/2021,D,F,970000,GU25 4AL,E07000212,{C18F412B-51DE-81A6-E053-6B04A8C0AD18},12269118,113,6,12,54,82,England and Wales: 1950-1966
6028.368794,2021,08/06/2021,D,F,850000,GU25 4AN,E07000212,{CD5A9DCC-5617-310A-E053-6C04A8C00A1F},12283384,141,5,11,54,76,England and Wales: 1950-1966
5962.343096,2021,12/02/2021,D,F,1425000,GU25 4AN,E07000212,{C18F412B-520B-81A6-E053-6B04A8C0AD18},12260670,239,7,12,63,72,England and Wales: 1950-1966
9466.019417,2021,27/04/2021,D,F,975000,GU25 4AN,E07000212,{C8A3A576-9E13-0425-E053-6C04A8C0947B},12284852,103,6,11,68,82,England and Wales: 1950-1966
4776.119403,2021,05/05/2021,F,L,320000,GU25 4AQ,E07000212,{CD5A9DCC-56BB-310A-E053-6C04A8C00A1F},12259364,67,3,12,68,76,England and Wales: 1950-1966
5000,2021,08/09/2021,F,L,350000,GU25 4AQ,E07000212,{D93B27B1-5C55-3100-E053-6C04A8C08887},12287693,70,4,11,74,77,England and Wales: 1950-1966
4802.259887,2021,10/09/2021,D,F,4250000,GU25 4AS,E07000212,{D707E535-F412-0AD9-E053-6B04A8C067CC},12287406,885,18,12,71,72,England and Wales: 2007-2011
5277.525023,2021,15/01/2021,D,F,1450000,GU25 4AT,E07000212,{BEF7EBBF-4F53-7A76-E053-6B04A8C092F7},12259721,274.75,11,11,50,70,England and Wales: 1930-1949
7959.770115,2021,19/03/2021,D,F,1385000,GU25 4AU,E07000212,{C6209F5F-D489-295E-E053-6C04A8C0DDCC},12261755,174,7,12,46,79,England and Wales: 1950-1966
7278.481013,2021,28/06/2021,D,F,2300000,GU25 4AU,E07000212,{D707E535-F724-0AD9-E053-6B04A8C067CC},12285128,316,9,12,67,74,England and Wales: 1930-1949
7505.070994,2021,19/04/2021,D,F,7400000,GU25 4AW,E07000212,{C3C3F9B6-536B-362B-E053-6B04A8C03ACC},12266784,986,NA,11,87,88,NO DATA!
7891.891892,2021,28/10/2021,F,L,584000,GU25 4BB,E07000212,{DE2D0CE0-319F-51EE-E053-6C04A8C00671},12279142,74,NA,11,81,81,NO DATA!
8450.980392,2021,18/06/2021,F,L,431000,GU25 4BB,E07000212,{CD5A9DCC-5C36-310A-E053-6C04A8C00A1F},12275889,51,NA,11,84,84,NO DATA!
6806.451613,2021,14/10/2021,F,L,633000,GU25 4BB,E07000212,{DE2D0CE0-319E-51EE-E053-6C04A8C00671},12279127,93,NA,11,86,86,NO DATA!
7581.081081,2021,29/07/2021,F,L,561000,GU25 4BB,E07000212,{D22473F6-1100-7B40-E053-6C04A8C0A630},12259777,74,NA,11,85,85,NO DATA!
4905.175638,2021,25/06/2021,D,F,905000,GU25 4BP,E07000212,{C8A3A576-9E20-0425-E053-6C04A8C0947B},12273492,184.499,7,11,40,49,England and Wales: 1900-1929
7605.633803,2021,17/09/2021,T,F,540000,GU25 4BT,E07000212,{D707E535-F8F0-0AD9-E053-6B04A8C067CC},12258507,71,4,11,44,81,England and Wales: 1930-1949
5042.016807,2021,05/11/2021,D,F,1200000,GU25 4BT,E07000212,{D22473F6-096F-7B40-E053-6C04A8C0A630},12272543,238,NA,12,78,78,NO DATA!
8666.666667,2021,26/08/2021,S,F,520000,GU25 4BX,E07000212,{D707E535-FE05-0AD9-E053-6B04A8C067CC},12261191,60,3,11,48,84,England and Wales: 1900-1929
6187.5,2021,30/06/2021,S,F,495000,GU25 4BX,E07000212,{D22473F6-11A4-7B40-E053-6C04A8C0A630},12287494,80,5,11,49,84,England and Wales: before 1900
5229.328825,2021,19/03/2021,S,F,563000,GU25 4BY,E07000212,{C6209F5F-D70B-295E-E053-6C04A8C0DDCC},12267888,107.662,6,11,47,56,England and Wales: 1900-1929
5625,2021,16/09/2021,S,F,450000,GU25 4BY,E07000212,{D93B27B1-5AE2-3100-E053-6C04A8C08887},12258440,80,4,11,58,85,England and Wales: 1900-1929
4053.254438,2021,10/06/2021,S,F,685000,GU25 4BY,E07000212,{D93B27B1-60D9-3100-E053-6C04A8C08887},12280856,169,6,12,67,81,England and Wales: 1900-1929
4973.262032,2021,23/11/2021,D,F,930000,GU25 4DA,E07000212,{E073986B-BFFA-2134-E053-6C04A8C0233B},12272448,187,8,12,67,82,England and Wales: 1967-1975
6171.428571,2021,26/02/2021,S,F,432000,GU25 4DB,E07000212,{C3C3F9B6-4D12-362B-E053-6B04A8C03ACC},12286111,70,4,11,61,87,England and Wales: 1930-1949
5461.056401,2021,16/12/2021,S,F,549000,GU25 4DE,E07000212,{D707E535-F4B2-0AD9-E053-6B04A8C067CC},12263424,100.53,6,11,63,65,England and Wales: 1900-1929
5635.83815,2021,30/09/2021,D,F,975000,GU25 4DF,E07000212,{D4D42646-5D68-27F6-E053-6C04A8C0A572},12281575,173,6,11,48,70,England and Wales: 1950-1966
5366.492147,2021,25/03/2021,D,F,1025000,GU25 4DF,E07000212,{CB0035E6-3A32-58AE-E053-6B04A8C091AF},12271007,191,7,11,50,73,England and Wales: 1930-1949
5028.462998,2021,12/02/2021,F,L,238500,GU25 4DG,E07000212,{C18F412B-58A5-81A6-E053-6B04A8C0AD18},12260722,47.43,NA,11,81,82,England and Wales: 2007 onwards
6794.117647,2021,17/12/2021,S,F,462000,GU25 4DQ,E07000212,{D93B27B1-603D-3100-E053-6C04A8C08887},12287348,68,3,11,63,87,England and Wales: 1991-1995
6062.5,2021,28/04/2021,T,F,388000,GU25 4DT,E07000212,{CB0035E6-3A3C-58AE-E053-6B04A8C091AF},12267510,64,3,11,73,90,England and Wales: 1983-1990
6666.666667,2021,08/12/2021,S,F,300000,GU25 4DT,E07000212,{E2D14906-0FCE-4C2D-E053-6B04A8C0422B},12259143,45,2,11,67,87,England and Wales: 1991-1995
4731.543624,2021,25/10/2021,D,F,705000,GU25 4EA,E07000212,{D22473F6-0AA4-7B40-E053-6C04A8C0A630},12287053,149,8,11,63,72,England and Wales: 1930-1949
7307.692308,2021,16/06/2021,D,F,950000,GU25 4EB,E07000212,{C8A3A576-A44A-0425-E053-6C04A8C0947B},12257247,130,4,11,75,84,England and Wales: 2003-2006
9633.027523,2021,18/11/2021,D,F,1050000,GU25 4EG,E07000212,{D707E535-F3A9-0AD9-E053-6B04A8C067CC},12288636,109,6,12,40,83,England and Wales: 1950-1966
5399.159664,2021,29/06/2021,D,F,1285000,GU25 4EJ,E07000212,{CFC9085D-1318-9A70-E053-6B04A8C09D6A},12258091,238,9,11,34,76,England and Wales: 1900-1929
5076.335878,2021,26/03/2021,S,F,665000,GU25 4EP,E07000212,{C6209F5F-D966-295E-E053-6C04A8C0DDCC},12267458,131,6,11,71,82,England and Wales: 1930-1949
6956.521739,2021,25/11/2021,D,F,800000,GU25 4EU,E07000212,{D4D42646-5C78-27F6-E053-6C04A8C0A572},12270058,115,5,11,47,74,England and Wales: 1967-1975
5300.75188,2021,28/06/2021,S,F,705000,GU25 4EW,E07000212,{D22473F6-0C75-7B40-E053-6C04A8C0A630},12280598,133,8,11,61,78,England and Wales: 1930-1949
3681.318681,2021,22/01/2021,S,F,670000,GU25 4EW,E07000212,{BEF7EBBF-4FEA-7A76-E053-6B04A8C092F7},12267954,182,8,11,68,77,England and Wales: 1900-1929
