,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
0,GBR,1750-01-01,5888000,1.0067133,5927527.9103999995,100.0,100.0
1,GBR,1760-01-01,6263000,1.0197706,6386823.2678,101.29702269752471,107.74851446239764
2,GBR,1770-01-01,6580000,1.1834642,7787194.436,117.5572230942017,131.3733912975284
3,GBR,1780-01-01,7155000,1.3767486,9850636.233,136.7567707707845,166.18456094853315
4,GBR,1790-01-01,7762000,1.664795,12922138.790000001,165.36932610307227,218.00215849389383
5,GBR,1800-01-01,8620000,2.4775457,21356443.934,246.1024106863394,360.29259173169936
6,GBR,1801-01-01,8671000,2.4581363,21314499.857300002,244.17441390711738,359.58497673040335
7,GBR,1802-01-01,8731000,2.4445295,21343187.064499997,242.82280764543393,360.0689425190698
8,GBR,1803-01-01,8832000,2.7193713,24017487.3216,270.1237085076755,405.1855627615132
9,GBR,1804-01-01,8945000,2.702702,24175669.39,268.46789448396083,407.8541637498352
10,GBR,1805-01-01,9092000,2.7736113,25217673.9396,275.51153838933095,425.43323828732963
11,GBR,1806-01-01,9232000,2.8998947,26771827.8704,288.0556658981261,451.65249788918146
12,GBR,1807-01-01,9368000,2.8695207,26881669.9176,285.03852089765775,453.5055814825506
13,GBR,1808-01-01,9498000,2.8397775,26972206.695,282.08403524618177,455.0329766929747
14,GBR,1809-01-01,9624000,2.8103423,27046734.295199998,279.1601442039159,456.290290050694
15,GBR,1810-01-01,9738000,2.7009504,26301854.9952,268.29390254405104,443.72384901052465
16,GBR,1811-01-01,9864000,2.7727084,27349995.6576,275.42185049109816,461.4064424667446
17,GBR,1812-01-01,9988000,2.7423942,27391033.2696,272.41064561280757,462.09876501031283
18,GBR,1813-01-01,10141000,2.6203845,26573319.214500003,260.29103817343037,448.3035696529819
19,GBR,1814-01-01,10274000,2.521406,25904925.244,250.4591923043035,437.02746972391554
20,GBR,1815-01-01,10458000,2.4331086,25445449.7388,241.68833370930932,429.27591608898723
21,GBR,1816-01-01,10628000,2.4458764,25994774.3792,242.95659946083956,438.54326410832255
22,GBR,1817-01-01,10802000,2.3367283,25241339.0966,232.11457522216105,425.8324798827758
